Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Custom field (Source),Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,PLAT-24267,22604266,SingleLookup result section is not refreshing when there are errors,VSavkoor,Norkom QA,SPenta,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.56,08/Aug/2022 05:59 PM,
Defect,1 - Critical,PLAT-24266,22604214,SMBD - Issue with handling datalabel expressions,EBaggott,Norkom QA,SGanesan,New,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,SMBD,,,,8.4.0.2,08/Aug/2022 08:04 AM,
Defect,1 - Critical,PLAT-24264,22604197,AXA - Pentest 2022 - XSS vulnerability,Pnolan,Norkom QA,OArnould,Assigned,9.0,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.2.24,05/Aug/2022 06:49 PM,
Defect,2 - High,PLAT-24263,22604160,[SWIFT MX] Error - Non Alerted : DATA_SOURCE_SWIFT_MX_NO_HIT,vincent.chin,Bendigo,vincent.chin,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,NA,05/Aug/2022 10:33 AM,Duplicate
Defect,2 - High,PLAT-24262,22604154,TransferWise RealTime No Hit message not stored in DATA_SOURCE_TRANSFERWISE_NOHIT,,Bendigo,vincent.chin,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,NA,05/Aug/2022 10:19 AM,Project Config Issue
Defect,2 - High,PLAT-24261,22604151,No Hit SWIFT MT message with 32A tag not stored in DATA_SOURCE_SWIFT_NO_HIT,,Bendigo,vincent.chin,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,NA,05/Aug/2022 10:06 AM,Project Config Issue
Defect,3 - Medium,PLAT-24260,22604025,Alert Gneration ALL Matches,theresia.hall,Norkom QA,theresia.hall,Rejected,,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,core.version=8.0.1.26,04/Aug/2022 04:30 AM,Won't Fix
Defect,3 - Medium,PLAT-24259,22604016,Pagination in list section is not preserved when navigating to Details screen and back,SHanley,Norkom QA,SHanley,Rejected,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.6,04/Aug/2022 12:32 AM,Not an issue
Defect,3 - Medium,PLAT-24253,22603499,TRUNC/FLOOR functions do not work with interval casts in PostgreSQL,Pnolan,Norkom QA,JCole,New,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.4.0.2,27/Jul/2022 03:31 AM,
Defect,2 - High,PLAT-24252,22603494,Correlated column is not allowed in a non-equality predicate Error for SharedList inputs in SMBD,,Norkom Services,deepak.kulkarni,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,SMBD,,,,,8.4.1,27/Jul/2022 01:12 AM,Project Config Issue
Defect,3 - Medium,PLAT-24249,22603204,CLONE - SingleLookup result section is not refreshing when there are errors,VSavkoor,Norkom QA,SPenta,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.56,21/Jul/2022 07:25 PM,
Defect,4 - Low,PLAT-24248,22603168,Org Unit code on deleting value from exclusion list screen.,EFitzgerald,Norkom QA,anna.plominska,New,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.3,21/Jul/2022 01:15 PM,
Defect,3 - Medium,PLAT-24245,22602917,Calendar Picker only displays 10 previous years ,,Norkom QA,JCole,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.4.0.2,20/Jul/2022 10:26 AM,Not a bug
Defect,3 - Medium,PLAT-24244,22602916,No validation on Due Date when updating WLM case details,,Norkom QA,JCole,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Workflow Configurator,,,,,8.4.0.2,20/Jul/2022 10:17 AM,Not an issue
Defect,3 - Medium,PLAT-24242,22602569,"Cross Filter chart: ""Others"" show incorrect value for count-distinct metric",JPerek,DnB NOR,michal.jagielski,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.7.0.25,18/Jul/2022 03:08 PM,
Defect,3 - Medium,PLAT-24241,22602317,[REGSEC-23] - Penetration Testing finding (Misconfigured HTTP Authentication Framework),Pnolan,Norkom QA,rodrigo.cazares,New,,,,,,,,,,,,,,,,,,,,,,,6.5.1,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,6.5,15/Jul/2022 03:09 PM,
Defect,2 - High,PLAT-24239,22601897,CLONE - Coverage Report Issues,VSavkoor,BOA,KGudivada,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,5.1.0.56,13/Jul/2022 09:27 PM,
